method,avg_obj,min_obj,max_obj,avg_time_ms,min_time_ms,max_time_ms
REGRET2,6131.85,5027,6934,153.336,149.833,165.236
LS_STEEPEST_VSWAP_RAND,-6327.93,-13701,220,70.023,54.0116,98.031
LS_STEEPEST_ESWAP_RAND,6359.32,4765,7665,32.6013,27.7931,39.4733
LS_GREEDY_VSWAP_RAND,-2921.54,-12393,5446,17.9075,9.95529,24.9573
LS_GREEDY_ESWAP_RAND,6313.72,4786,7419,10.8452,7.78314,14.4564
LS_STEEPEST_VSWAP_HEUR,6299.19,5131,6953,155.258,150.997,167.51
LS_STEEPEST_ESWAP_HEUR,6348.91,5315,7229,154.986,150.088,197.956
LS_GREEDY_VSWAP_HEUR,6290.18,5131,7047,154.952,151.022,166.119
LS_GREEDY_ESWAP_HEUR,6346.58,5150,7235,153.716,150.205,162.579
RANDOM_WALK,-32750.1,-143168,468,155.27,155.266,155.294
