method,avg_obj,min_obj,max_obj,avg_time_ms,min_time_ms,max_time_ms
REGRET2,18014.5,16877,18776,153.209,150.238,165.742
LS_STEEPEST_VSWAP_RAND,2702.59,-6644,10351,80.5359,59.7392,119.689
LS_STEEPEST_ESWAP_RAND,17940.5,16104,19181,38.1183,32.4062,44.1613
LS_GREEDY_VSWAP_RAND,8316.58,2035,14576,17.9419,10.4017,31.8241
LS_GREEDY_ESWAP_RAND,17858.1,16099,19199,12.2568,8.97624,17.9307
LS_STEEPEST_VSWAP_HEUR,18120.5,17019,19421,154.77,150.402,164.71
LS_STEEPEST_ESWAP_HEUR,18478.2,17381,19500,155.289,150.401,165.065
LS_GREEDY_VSWAP_HEUR,18124.3,17019,19421,154.726,151.489,168.5
LS_GREEDY_ESWAP_HEUR,18333.2,17199,19355,154.434,150.671,173.708
RANDOM_WALK,-26012.5,-126611,798,155.303,155.297,155.39
