objective,nodes_to_best,edges_to_best,nodes_avg,edges_avg
6026,138,96,147.284,100.589
5093,144,101,152.38,102.591
7501,144,117,147.81,106.826
5053,142,101,152.471,104.397
7096,140,99,148.559,104.142
6511,136,99,144.886,99.4755
7036,139,105,147.527,105.535
5120,141,105,149.85,100.98
6017,141,97,149.231,100.019
7842,146,116,149.79,103.733
6106,140,97,150.862,103.197
5714,146,110,152.828,102.619
5739,141,105,149.542,100.946
5417,140,102,148.89,99.7057
6364,143,96,150.372,102.867
5768,144,99,154.388,105.913
6183,144,111,147.486,97.2202
6336,144,105,149.064,102.293
6758,140,110,148.826,106.793
6117,144,101,152.732,107.038
5784,145,106,152.063,103.408
4994,142,93,152.99,102.99
5976,145,114,152.278,105.762
6201,144,102,151.754,101.253
6608,147,110,150.157,102.473
6512,142,108,151.889,107.495
5051,142,100,150.72,100.62
5446,136,94,145.053,98.3033
6285,141,106,147.603,100.616
5968,141,97,149.385,101.671
6069,144,110,152.375,105.019
6081,143,100,151.52,104.129
5637,137,96,145.05,97.8819
5078,143,100,152.58,104.052
5675,139,92,151.04,102.386
5586,139,91,150.47,100.539
5921,139,97,147.52,99.7698
6519,139,106,147.319,98.5556
6468,139,97,148.588,103.127
5093,143,101,151.792,102.205
6348,140,101,149.692,103.55
5929,141,103,149.736,100.851
5203,140,96,148.489,98.8208
5367,139,101,148.334,101.457
4993,142,100,147.215,96.6727
6660,137,97,144.716,99.3934
5127,144,94,151.616,98.7588
5046,144,106,150.899,100.866
5745,146,106,151.328,99.976
5325,140,88,152.095,101.055
5333,140,104,148.07,97.4975
5988,139,95,149.502,100.997
5704,142,110,151.518,106.974
5623,139,96,149.774,100.567
7265,144,107,151.432,108.211
6177,143,106,150.328,100.37
6403,139,95,147.411,99.1071
6694,141,104,150.752,106.686
5599,145,108,153.446,104.608
4936,143,94,153.994,104.267
7178,145,119,146.882,101.669
4741,141,95,147.653,95.7658
6993,140,103,150.42,104.908
6683,137,102,146.724,101.416
5511,145,112,151.361,105.375
6082,139,94,151.759,104.11
4926,145,97,155.127,106.246
5558,142,106,153.327,107.948
6876,140,111,148.243,105.003
5219,143,101,152.063,102.377
5051,138,94,148.509,99.4354
5998,143,107,151.789,104.059
5921,144,103,150.642,102.081
6914,142,106,153.108,109.787
5782,142,100,150.402,102.212
6413,140,102,147.812,101.525
6071,143,108,151.309,106.075
5697,141,103,148.21,101.468
7520,142,112,147.493,105.864
5489,138,92,147.594,97.7628
4817,142,97,152.47,100.082
5691,143,108,150.241,103.526
5639,143,101,151.202,101.391
6480,137,98,147.419,102.153
6693,144,108,154.609,107.001
6447,139,95,144.659,99.1261
4791,138,87,146.634,92.5946
6761,144,107,152.652,106.576
6964,139,96,148.124,102.236
5265,142,99,152.085,101.728
6378,141,109,143.342,99.8438
6378,139,101,150.242,106.689
5727,138,95,146.855,99.2142
6118,143,107,147.771,99.4625
5824,139,108,147.676,100.623
5219,137,88,146.035,95.5906
6565,138,97,149.44,103.878
4636,141,97,151.466,101.682
6394,143,109,147.93,102.343
6418,142,105,151.807,105.304
6195,142,98,150.604,100.137
5109,144,96,151.71,100.401
5459,142,95,152.118,102.775
6712,145,116,150.67,105.56
6472,138,96,149.162,103.001
5328,146,107,151.239,102.194
6454,145,116,152.564,109.448
5551,143,98,151.551,100.678
7291,144,115,147.364,104.786
6101,139,105,148.562,103.811
6692,138,100,143.561,95.6106
5011,146,102,153.076,99.969
4555,143,94,154.583,103.143
7007,141,104,148.14,103.709
6897,143,108,150.253,105.216
6707,143,113,152.385,109.819
5508,146,105,153.4,104.666
6557,143,99,152.7,105.11
5483,146,105,153.007,102.04
5940,139,98,149.103,100.515
6149,143,105,153.957,107.687
6520,144,117,151.354,105.037
5163,145,107,152.157,102.008
6544,147,111,150.785,102.368
5500,146,110,151.612,103.661
7653,143,113,149.215,108.135
5993,139,98,147.954,101.837
5643,145,104,150.459,101.536
6152,140,107,146.151,98.5906
5049,144,101,151.322,100.625
5939,139,94,149.911,100.997
6549,141,102,146.628,100.132
6491,139,106,150.096,104.664
5821,143,101,148.784,98.2513
6051,142,105,149.52,102.059
6443,142,104,146.707,99.7147
5899,142,108,152.454,107.799
5463,145,96,153.957,104.508
4956,140,91,153.361,101.647
7129,141,106,148.576,106.056
4572,142,97,152.875,101.146
5660,142,100,150.867,102.608
6335,145,106,152.268,104.482
5633,141,102,152.2,105.562
5624,135,91,145.925,99.7037
7252,144,107,152.037,108.351
6377,144,111,149.246,103.331
5948,139,98,150.698,105.317
6511,144,113,151.254,106.957
6158,144,98,152.884,102.833
5350,145,105,152.617,105.486
5346,140,94,150.324,101.14
5087,134,95,144.187,95.7377
6080,140,99,148.814,101.218
6107,141,102,150.396,104.894
5607,141,101,151.216,102.584
4437,142,96,152.61,102.486
6746,139,106,150.246,105.399
5885,142,102,151.583,105.287
7064,142,106,150.701,106.244
6759,144,103,150.559,102.471
5392,139,95,150.451,102.294
5066,145,106,148.735,99.4925
6407,140,100,150.419,103.998
4212,144,96,153.053,102.099
5436,137,85,149.274,99.9179
6127,140,101,150.089,102.842
5397,141,104,151.08,101.675
6553,143,97,151.318,104.636
5503,143,104,152.355,105.384
6605,144,111,149.271,104.587
6395,138,96,145.696,100.637
6773,140,101,151.721,107.293
6370,144,104,150.694,102.659
5792,142,103,150.259,103.183
6396,143,99,150.711,104.372
6013,141,108,149.605,102.549
5497,140,98,151.591,103.864
6231,146,117,149.628,104.234
6425,139,101,145.168,95.2903
5634,143,94,154.16,102.461
5828,144,109,152.122,104.285
6072,145,117,152.221,105.231
5389,145,96,150.025,97.5876
5422,145,108,156.146,109.162
6652,142,106,152.292,107.822
7171,141,109,152.061,109.391
6951,139,103,149.521,103.451
5318,145,101,153.183,105.976
5844,143,94,151.415,101.975
6348,138,105,149.245,105.48
