objective,nodes_to_best,edges_to_best,nodes_avg,edges_avg
-7547,147,87,168.563,90.4104
-7288,141,84,162.285,83.2392
-9503,144,89,167.587,85.5846
-2347,146,98,162.26,87.8539
-8849,143,79,166.501,81.4675
-5878,143,92,163.411,83.8068
-15012,147,89,168.08,81.6597
-4015,141,87,160.303,85.009
-18967,147,82,170.538,83.2082
-6898,139,69,158.475,73.6547
-1584,143,98,159.684,85.4995
-5057,143,95,163.478,86.6857
-7678,140,81,162.795,81.1381
-4356,144,91,164.615,86.024
-6609,145,83,166.48,83.3994
-6039,141,87,159.136,74.8278
-9232,144,84,166.431,81.7317
-3535,147,94,163.754,85.1552
-12258,147,92,168.139,81.7277
-19063,148,81,171.885,82.2222
-13594,144,75,167.586,75.6987
-9721,146,92,164.586,81.1271
-7278,143,89,166.235,87.1752
-12390,147,82,170.258,81.6667
-7117,145,83,166.098,80.9109
-10692,145,85,168.003,81.7568
-8160,144,87,168.372,87.8989
-9596,146,98,166.686,87.3534
520,144,95,158.369,82.6226
-1162,137,88,157.484,81.963
-9624,146,96,165.151,88.1041
-1512,146,95,165.255,88.972
-2192,146,104,165.551,91.4274
-7065,144,89,167.85,87.971
-3002,143,91,163.844,86.0551
-7229,146,96,167.945,88.4244
-6550,147,84,170.996,83.5285
-14673,143,79,168.038,83.97
-6088,142,87,161.815,84.1091
-13909,144,75,169.59,83.5866
-7432,142,83,162.16,79.7267
-5952,145,87,164.32,83.4334
-10171,147,90,166.025,82.5305
-10233,148,90,170.568,89.4164
-10988,142,86,162.974,83.4364
-8020,147,93,168.336,88.6306
-9492,144,81,163.55,78.7437
-14531,148,95,171.851,85.7187
-2288,141,87,162.288,86.2372
-6784,146,99,165.546,86.7017
-8748,142,91,163.973,84.2623
-8403,146,92,168.476,81.7578
-13789,149,95,171.072,88.8238
-10957,147,91,168.684,80.3734
-14103,144,82,168.58,82.8208
-7290,143,86,166.875,85.5906
-4109,144,94,163.704,84.2833
-7697,147,98,167.027,87.5956
-8784,144,94,166.037,84.6356
-3229,149,95,165.524,84.4635
-4380,148,91,163.385,84.1141
-10218,145,91,164.66,83.03
-6873,144,85,168.45,89.7718
1431,144,90,159.98,85.985
-16918,143,80,166.627,81.6406
-3506,144,93,161.98,85.963
-7294,144,89,164.202,86.0591
-8158,144,92,166.824,84.5335
-15786,145,90,167.87,84.2192
-8850,145,89,168.337,86.4915
-10159,144,85,166.447,79.6196
-1223,144,86,160.6,81.2523
-10917,145,94,170.025,87.2783
-5337,142,91,163,85.4785
-18819,147,78,173.388,83.035
-3537,145,86,165.254,85.3794
-10867,146,77,170.405,81.3624
-7400,144,89,164.228,85.7187
-16649,145,96,171.791,86.017
-6819,143,81,166.356,82.6416
-6004,144,92,165.008,80.6697
-13417,147,79,171.842,79.2362
-5364,142,92,164.891,84.5846
-11787,146,86,169.79,85.5035
-6428,144,79,168.622,86.7407
-15366,145,78,170.242,80.2723
-7169,148,91,167.604,86.5345
-7518,146,90,166.867,84.6466
-11887,146,82,168.129,83.5235
-7650,144,92,166.463,88.3544
-12669,145,84,167.825,80.4494
-13687,147,87,172.358,86.3564
-7538,145,79,168.416,82.6026
-5505,143,84,164.337,81.2613
-4849,145,99,165.667,84.8539
-14041,143,88,165.999,84.2342
-19109,146,90,168.682,81.3493
-5945,146,95,164.062,86.0861
-3187,145,97,163.143,84.3363
-7427,148,98,168.834,88.0881
-3494,146,96,166.28,86.3874
-13669,142,83,165.606,81.2663
-3381,143,84,167.671,88.2963
-8462,143,79,163.495,80.3774
-9242,148,89,170.974,81.6066
-15974,147,91,166.543,80.9219
-8024,146,83,164.412,77.8589
-4854,140,86,158.907,83.1311
-19680,148,83,173.397,80.6486
-4156,147,92,166.159,85.9379
-6270,146,99,168.293,84.7007
-2459,145,95,160.457,87.9309
-6706,146,82,164.565,81.7808
-11965,142,85,165.868,81.4665
-6844,140,89,164.372,86.1271
-7744,146,95,167.627,87.2953
-9956,144,81,168.629,82.7528
-8788,142,75,165.794,79.5846
-5771,146,88,166.956,83.6897
-6048,143,83,163.676,81.0781
-6649,148,100,170.27,89.2663
-11849,146,87,164.998,80.3233
-10767,141,77,163.343,79.049
-9031,144,83,165.123,78.5946
-3620,147,98,162.342,85.2713
-816,136,90,156.222,83.006
-16077,149,90,170.275,83.6937
-5948,146,94,164.247,88.3934
-8835,146,84,167.759,83.8038
-7674,143,87,161.931,79.971
-3173,144,92,161.784,86.7688
-15665,145,89,168.346,84.8699
-6309,146,94,165.228,85.1872
-13408,144,86,169.057,81.4895
-8010,144,90,168.183,89.04
-1131,146,94,165.436,91.7878
-6940,143,85,166.226,80.8699
-11182,147,87,167.933,83.4344
-15147,144,75,170.927,79.1842
-4729,143,84,165.174,83.1351
-7602,148,90,169.931,89.1001
-8112,144,90,165.419,84.5526
-8767,146,93,168.897,84.2913
-8381,148,91,169.122,87.8018
-8018,146,90,168.676,80.987
-4418,145,96,162.841,87.5736
-4016,147,104,167.61,89.7828
-3900,145,100,163.958,86.6897
-15246,146,85,169.225,81.2693
-6522,145,83,164.48,81.3073
-5810,145,90,164.822,85.8639
-5073,145,88,162.687,84.2843
-10776,147,86,169.45,86.2112
-8807,146,93,167.913,86.8779
-5060,144,85,160.446,79.8478
-10187,145,90,165.411,81.8849
-13570,145,88,167.092,83.8258
-13500,146,81,170.884,82.1201
-12460,142,81,164.193,80.1251
-6368,145,90,166.873,84.7227
-13826,148,90,169.31,81.983
-15776,145,79,167.471,75.1221
-4383,142,85,161.256,83.4274
-15261,145,78,168.759,80.3734
-7813,144,84,166.03,77.954
-10393,141,79,166.144,84.996
-13498,144,95,165.619,85.7297
-319,146,104,163.356,89.8859
-5073,147,87,165.929,83.4374
-9865,147,82,167.398,81.1612
-3001,144,90,163.175,88.009
-8035,144,93,168.299,83.2272
-11632,146,87,167.799,81.7447
-14153,143,75,168.018,78.6206
-9271,144,89,166.94,81.958
-16099,146,79,169.418,80.6877
-5929,147,90,165.121,84.2092
-14685,145,97,165.536,87.2402
-4386,146,94,166.534,85.2312
-7504,142,88,167.443,83.8969
-4856,146,94,166.048,88.5696
-11932,147,82,170.226,84.3854
-3688,148,95,165.983,87.5345
-6573,148,91,163.593,81.7467
-10924,145,89,168.944,84.8298
-10082,149,88,169.377,87.2693
-11370,143,82,166.855,83.3714
-12298,144,69,168.62,78.3674
-6375,146,96,165.255,90.4024
-7086,143,78,163.735,79.6006
-8914,139,80,162.938,81.1672
-16492,147,78,171.572,75.4895
-11390,146,85,170.644,83.7357
-12619,147,88,171.47,82.0751
-8774,147,94,165.267,83.5045
-8501,148,92,168.719,83.3313
-8542,143,84,162.315,81.5195
-16362,146,80,169.813,83.4234
-10107,146,84,166.976,76.9269
-7937,145,86,165.332,84.9459
-10376,143,86,167.771,84.5145
-11302,144,81,168.695,81.957
-7110,140,79,163.352,83.5656
-3588,146,96,164.328,85.8258
-7775,145,86,168.265,86.4244
-12936,145,78,165.532,78.4885
-6447,147,85,169.1,87.4144
-9742,145,87,168.808,83.3223
-15082,143,78,168.146,84.2953
-19243,147,87,172.232,83.8929
-6222,145,90,167.524,83.5876
-1906,139,84,157.144,84.0971
-6978,143,88,165.928,84.3754
-12310,145,76,166.655,78.9409
-6940,140,75,162.556,81.013
-1011,144,81,163.542,80.7187
-11566,143,86,168.885,86.4815
-12927,143,80,165.153,79.6056
-16224,140,72,164.927,77.047
-5783,143,85,164.448,82.2533
-3002,143,91,162.603,83.2813
-9488,145,87,169.199,87.1461
-8680,146,95,164.509,81.5996
-7461,145,94,167.649,91.7888
-5799,145,91,165.375,85.8849
-5266,142,94,164.264,86.8869
-3962,143,87,163.705,81.5676
-11997,148,88,170.832,87.9049
-7958,144,83,162.457,80.5936
-11596,145,95,166.706,86.6907
-10937,148,81,170.405,82.7738
-3236,140,89,162.744,85.5616
-8532,144,88,165.772,83.2863
-5447,142,89,163.99,82.8799
-10345,144,80,167.555,78.6366
-4237,147,96,164.786,85.019
-14243,144,76,168.075,80.04
-9812,142,85,166.228,79.9059
-13415,145,91,168.841,88.2943
-5659,148,104,166.556,85.4424
-25359,149,88,173.865,79.4685
-19958,145,77,169.834,81.0831
-16643,148,97,173.606,84.2913
-3444,147,95,166.393,85.018
-5343,143,88,162.481,82.6707
-10162,146,83,167.925,85.2863
-7243,147,81,169.859,82.4725
-5196,142,90,161.552,84.2252
-11573,144,77,166.879,80.993
-15503,147,83,171.136,83.8769
-5269,145,91,163.952,85.2783
-8533,145,90,164.89,88.3574
-13279,144,76,169.878,83.03
-8679,146,85,167.907,78.8529
-8088,145,77,164.634,79.99
-16554,144,86,165.88,82.9169
-8812,146,89,167.066,83.8068
-9426,147,91,171.119,87.4755
-16279,147,84,170.824,82.4825
-4186,145,95,164.386,84.2052
-3465,146,94,167.545,86.3043
-6884,149,93,167.489,83.0561
-4002,144,98,163.771,87.3493
-13194,147,92,169.96,83.5916
-3648,147,92,164.168,84.5836
-8535,147,96,168.379,87.998
-6739,140,83,165.652,84.6857
-8265,144,82,167.749,82.5185
-9973,143,87,163.469,80.967
-6064,146,89,165.247,79.7708
-4011,148,91,164.573,85.017
-8451,143,83,164.591,81.2973
-9056,146,81,169.604,84.9179
-8944,143,90,168.982,85.7427
-11131,145,85,165.438,82.8278
-3296,145,88,164.973,86.8028
-9728,144,90,167.887,84.5806
-9327,142,83,161.419,82.4705
-16222,144,74,168.869,78.3033
-15501,146,74,169.378,76.3664
-10355,144,80,169.417,84.9229
-8582,146,91,168.298,85.1331
-6352,148,99,166.281,87.7668
-9663,143,83,164.666,81.6577
-3691,146,97,163.37,84.044
-9599,142,89,166.021,85.2182
-10215,148,78,169.538,79.4174
-6234,142,88,159.758,80.3313
-6945,147,96,168.089,87.1882
-11151,146,84,164.9,79.4525
-10934,145,87,167.606,83.983
-10267,146,76,164.439,78.961
-10496,146,83,166.96,84.0651
-11047,146,90,166.904,84.2813
-11663,145,87,166.917,79.2092
-5416,146,80,167.949,85.8128
-6047,142,83,160.924,82.8008
-9325,148,95,167.136,84.5135
-4692,144,91,161.543,83.5986
-9835,143,84,165.728,79.1371
-14275,145,91,169.905,81.5135
-4321,146,84,166.301,86.1682
-10734,147,82,168.27,81.4474
-4019,142,84,162.752,83.6697
-8116,147,92,165.021,85.5606
-15980,144,74,169.344,80.7748
-4335,145,94,162.794,85.1512
-10703,146,85,165.631,81.1471
-10503,146,85,169.949,86.5556
-13508,146,91,169.538,82.8418
-14995,145,83,168.259,82.6667
-14352,148,87,171.6,81.6286
-10990,149,86,167.801,84.5335
-6533,143,87,162.637,80.5616
-1511,146,91,159.679,81.9129
-13998,145,80,167.365,79.5926
-6464,146,92,166.042,83.6176
-5276,144,86,163.321,84.2282
-8701,148,95,167.883,83.0911
-10766,146,99,164.192,81.8428
-8139,144,86,165.653,83.6346
-7098,145,87,166.024,85.3073
-5197,144,83,169.066,86.1772
-2940,146,101,157.467,83.7297
-10637,146,87,168.218,85.0731
-8173,143,78,165.104,84.2633
-8070,142,86,166.044,82.9239
-7681,145,92,163.741,84.4494
-6425,143,94,164.379,88.4354
-10883,146,86,170.006,83.986
-11772,146,88,169.027,83.7147
-12447,144,85,166.648,81.8779
-18613,146,76,170.88,79.6406
-9042,149,80,171.957,84.8899
-9983,139,79,161.546,78.9379
-11560,143,79,167.657,79.2933
-8127,146,84,167.096,82.5816
-3494,142,90,163.725,89.1892
-11775,147,97,169.188,85.953
-15787,142,82,165.073,80.8739
-6797,146,92,164.035,87.4324
-4293,142,91,163.88,84.5315
-10169,147,92,167.984,81.7988
-9273,143,91,168.204,87.4384
-6115,141,88,162.628,87.958
-5607,144,90,167.005,87.0511
-10636,145,90,168.055,82.1772
-5614,147,87,166.343,83.2803
-3569,137,88,156.114,84.7598
-9706,143,78,165.745,84.5405
-11559,144,86,169.632,85.8699
-12535,145,92,165.088,84.6036
-11271,140,76,164.219,80.1381
-9982,148,83,166.816,81.2843
-5383,143,88,162.384,82.3544
-10898,144,80,167.728,79.6486
-15134,142,83,166.846,79.7538
-7967,146,91,166.806,89.3754
-6980,147,92,166.219,85.4645
-9753,147,85,167.455,80.1962
