objective,nodes_to_best,edges_to_best,nodes_avg,edges_avg
18291,149,105,158.717,109.481
18217,149,104,152.399,104.601
17180,152,106,159.776,103.673
18263,153,117,158.027,108.68
18084,148,105,155.024,103.493
18225,152,113,157.173,108.92
17610,150,99,154.885,103.771
17511,152,113,159.865,110.185
16785,149,97,158.762,102.234
17514,153,108,157.799,103.939
18685,152,116,159.143,111.717
18107,154,110,160.108,109.072
17835,150,109,154.191,102.663
17482,154,105,163.406,111.119
19174,153,125,156.02,111.928
18671,147,113,152.971,104.546
17542,149,112,154.938,105.858
17589,150,103,157.329,104.003
19027,151,128,155.567,109.485
17363,155,113,160.656,107.102
17675,151,109,157.79,104.716
16598,154,101,162.117,105.583
17125,148,98,156.546,97.6667
17698,153,122,157.903,107.783
17809,151,109,158.596,107.992
18868,151,112,157.514,111.148
17673,147,101,153.925,100.795
17399,153,113,159.673,105.426
17201,154,107,159.794,104.698
17391,154,111,162.835,109.468
17761,150,113,157.276,106.18
17734,151,106,158.278,108.788
17485,154,125,161.105,111.624
17902,151,108,155.538,103.421
16476,153,102,159.518,100.706
16037,151,90,159.605,99.3113
17576,154,110,160.951,107.008
18440,148,113,153.637,108.194
18190,156,119,159.332,107.995
17490,151,107,157.923,107.782
17335,155,115,159.66,107.143
17102,151,101,156.145,101.363
18181,151,112,157.438,109.187
17233,152,104,160.384,103.825
17905,152,120,159.691,109.9
17791,153,115,161.478,112.853
18844,155,128,159.45,113.885
18894,154,125,157.355,109.364
18645,151,116,157.32,111.315
17574,150,107,157.477,104.099
18458,156,119,161.871,109.203
17582,151,110,158.255,108.863
17263,153,112,155.399,103.988
18702,151,119,154.862,107.711
17366,154,113,162.034,107.419
18230,152,111,158.777,110.557
16557,154,102,164.166,105.333
18888,149,111,157.122,110.257
18340,149,106,157.539,107.141
18449,155,116,158.32,111.054
16718,153,114,160.584,108.647
17397,154,101,161.353,105.926
17663,153,114,160.489,108.889
17654,149,105,158.868,107.865
16744,150,90,160.004,97.6627
17664,152,106,158.187,106.041
17136,150,113,158.245,106.392
17076,154,109,158.946,107.633
17531,155,115,158.617,105.427
18121,149,109,157.649,109.403
17236,149,110,157.141,108.408
18878,154,113,159.145,110.784
17460,151,106,159.302,106.205
18476,155,125,159.292,112.897
16491,152,110,161.092,107.687
18317,155,124,163.035,114.086
18573,150,116,157.027,111.012
17775,152,114,158.727,107.609
17628,151,119,157.406,108.518
16780,149,106,157.349,102.449
18805,152,127,155.867,112.024
18298,149,105,157.416,106.36
16713,153,108,161.127,104.405
17257,149,106,156.571,106.03
18255,151,105,158.219,109.068
17296,152,109,160.851,107.452
17329,150,105,157.1,104.205
17735,150,122,158.351,108.961
18610,149,107,156.537,107.442
16963,153,108,161.524,108.337
18867,152,126,155.092,109.894
17276,153,112,160.118,106.587
16966,151,114,156.388,104.999
17637,150,105,157.316,104.91
18557,149,111,150.311,102.058
18657,155,124,160.469,113.048
18713,150,114,157.384,108.401
17692,151,105,157.959,107.959
18496,150,107,155.945,105.782
17526,150,110,156.914,104.168
18068,154,125,160.3,112.39
18718,151,123,157.427,108.365
16062,151,102,160.248,100.838
17304,154,111,161.185,105.59
18315,152,121,157.095,111.193
17891,151,108,158.629,108.825
18610,148,112,154.7,106.84
18256,151,107,159.536,106.232
18251,155,118,162.58,112.431
17527,154,110,161.237,108.209
18148,154,118,160.327,113.615
17720,152,111,160.155,107.201
18411,151,111,155.728,106.912
18662,152,116,158.721,108.568
17683,154,115,159.427,108.487
17921,154,121,154.523,105.66
17225,151,100,157.209,102.18
18188,154,112,158.487,107.895
17978,153,110,158.041,105.536
18776,150,113,155.831,107.859
16967,154,107,160.698,102.479
17365,153,110,159.148,107.526
17301,151,112,154.001,101.95
18226,151,113,159.444,108.561
17692,152,116,156.011,106.017
17682,154,110,154.699,101.433
17634,149,111,155.003,104.337
16673,151,102,157.647,100.433
16699,155,105,162.941,107.345
17116,154,114,158.693,105.318
17867,150,109,159.178,108.972
17860,152,112,158.292,106.948
16668,150,105,160.212,107.996
17038,156,107,160.878,105.2
17308,154,117,159.169,109.05
18951,152,122,158.031,111.864
17286,152,110,159.263,106.228
18650,154,115,158.056,108.885
