objective,nodes_to_best,edges_to_best,nodes_avg,edges_avg
775,155,84,175.454,77.998
7561,153,99,171.11,85.3554
-4611,153,85,175.168,79.8519
3824,153,89,169.826,75.6476
3374,154,99,173.152,81.6857
6109,155,92,171.124,83.2012
-353,156,83,177.809,80.4064
1425,156,91,176.689,83.8398
-1768,153,84,172.677,76.4084
3512,156,87,174.618,78.6236
6328,152,86,168.183,80.8038
1192,153,86,171.828,70.7357
6210,154,95,173.428,83.6727
9473,156,97,174.636,85.5736
2573,155,96,169.398,75.5075
-5454,154,75,176.716,72.6627
1308,155,88,173.263,80
6159,154,97,172.599,84.2893
5717,153,86,172.357,81.039
6764,154,106,170.47,85.7898
247,156,89,177.879,80.986
4260,153,90,170.391,79.1411
1577,153,87,170.285,80.7678
3417,155,98,174.617,88.003
1151,156,81,177.26,79.5896
-801,155,87,177.661,79.4094
8120,154,93,173.688,85.9279
8780,154,109,170.591,86.4645
-3012,156,88,177.337,82.3894
702,156,87,174.08,75.1251
453,155,86,177.686,78.6927
-7315,155,90,178.095,83.8138
-8542,156,81,177.163,76.1431
4373,156,95,174.2,84.4484
6238,156,97,168.999,82.4184
2429,154,88,171.415,73.2743
-562,155,89,173.497,81.5395
7952,155,101,167.149,79.3734
-3975,155,79,179.052,77.1381
11636,154,95,169.343,84.1281
843,156,84,177.065,78.952
9687,154,103,174.959,87.7608
9699,153,104,169.555,85.4705
-1848,153,95,175.35,80.2583
1127,156,84,175.975,78.2232
5646,154,98,168.924,80.4354
-4860,156,78,178.247,81.3674
7318,156,97,173.533,83.2402
4353,154,90,168.856,76.6406
8972,155,91,169.482,81.976
6698,155,98,170.952,81.1421
4326,156,91,176.085,81.7918
8261,155,97,175.214,87.2643
-67,155,91,175.377,78.995
1941,154,90,172.739,78.3413
5321,155,87,173.614,82.5295
-3207,156,78,178.232,77.6336
3591,150,82,166.992,75.3514
-9229,155,82,175.436,78.6376
142,156,88,177.85,78.8819
-2777,155,99,175.089,81.2432
7899,156,92,174.862,83.5826
3081,156,90,173.841,79.1682
4172,156,99,176.557,84.1842
2821,156,91,177.413,80.1692
187,155,87,173.254,77.6747
10215,151,99,169.932,82.8418
-8641,156,80,179.627,75.5586
2348,155,84,175.787,78.1722
8017,155,96,174.565,85.0891
403,156,79,175.958,78.8148
-475,156,93,173.23,81.0911
6108,155,87,171.449,80.0811
-2838,155,82,177.067,77.3393
5429,156,88,172.91,79.3423
1489,155,94,176.952,84.0861
5160,155,91,174.159,82.8759
9273,152,98,170.349,87.7067
5684,155,99,174.759,84.5145
-1046,155,87,172.965,78.8458
1389,153,89,174.733,83.3303
-1310,152,90,173.83,80.7077
11149,150,101,164.565,82.4034
5594,154,96,173.486,84.7818
-1894,156,88,174.936,80.2102
1489,154,89,175.709,79.2292
-22,156,86,176.495,81.2623
2827,156,75,174.086,79.4625
9942,154,92,171.219,80.7487
3375,155,103,177.574,86.3604
15501,154,100,164.43,85.2603
7140,156,97,173.095,85.0571
-733,153,83,173.799,76.1902
