objective,sim_node_best,sim_edge_best,sim_node_avg,sim_edge_avg
3391,90,47,69.3223,34.7908
2493,81,40,69.1421,35.6146
2409,84,39,68.5025,32.3323
3716,86,48,67.6246,35.5085
1953,88,40,66.991,30.4825
3832,87,49,67.6046,35.006
2845,91,47,69.2022,34.7007
2586,86,45,69.1281,35.011
4665,89,49,68.1361,35.6046
3691,84,48,66.9019,33.7848
4316,91,54,69.4054,36.2142
4259,90,56,70.1131,37.5345
3666,89,54,68.8358,35.8208
3235,87,46,69.6386,35.4955
3054,91,52,69.1942,33.9219
2608,81,38,68.026,35.963
4250,92,54,70.1301,38.7117
2293,86,46,66.3013,32.3053
2518,84,49,65.1782,32.9479
3574,90,48,67.2362,33.8348
2354,87,43,65.7588,31.1241
4239,91,57,69.6647,36.6026
3686,87,48,68.8599,35.8038
2424,82,38,65.0731,30.5646
2856,86,46,67.2442,33.6356
3965,89,48,68.6386,34.8208
3741,90,49,68.5485,35.3994
2857,92,52,68.5165,33.962
3366,87,47,67.035,32.4144
3169,93,43,70.994,34.8689
2598,86,51,67.4595,34.1722
3443,82,46,65.9269,33.8779
1822,87,44,67.2753,31.7818
3265,90,47,67.1101,31.7437
3631,87,48,70.4865,36.3073
3671,88,45,66.7037,32.5385
4206,94,59,69.7107,34.8458
3207,89,47,68.8438,36.5906
2843,86,47,69.1812,35.8549
3056,85,46,68.8008,34.5395
3130,88,52,67.9469,35.4995
2196,85,48,68.6476,34.7197
2765,87,43,70.6096,35.9209
2840,92,44,70.3383,34.02
3304,88,47,68.6587,33.7898
2401,89,55,67.8699,33.0831
5473,96,57,70.044,36.2503
3175,87,46,68.2743,35.3594
4033,89,47,69.1732,35.6577
2351,90,57,66.1782,33.2262
2735,83,43,65.5686,31.4805
5049,95,56,69.962,36.0861
3075,90,50,67.1461,34.1662
4503,87,45,68.6587,36.6697
3002,87,49,68.2933,34.5255
4317,91,55,67.047,34.4454
2764,92,52,66.3333,30.991
3205,87,50,66.6757,33.8318
3050,86,44,67.2042,32.6036
3988,87,49,68.953,36.1371
3316,89,51,66.5586,33.003
3861,89,47,70.3463,35.9179
3546,92,58,68.3584,35.4975
3431,85,41,66.6527,32.3624
1823,85,49,67.5265,32.2442
4074,87,49,68.2773,36.6507
2523,88,44,69.8348,32.5576
3803,91,51,68.3343,34.4094
3177,89,49,69.1301,35.4474
3036,88,41,67.2242,32.4334
4501,88,49,69.2733,35.9469
3480,88,46,67.4314,34.1031
3940,88,51,66.6246,34.2663
3629,88,48,69.2723,36.5405
1759,87,42,68.5075,32.7317
4751,82,44,68.2643,37.2142
4083,93,56,70.0731,35.4925
2588,84,45,68.7477,34.8108
4305,92,50,66.7558,33.3804
2336,85,49,67.3974,34.7668
3277,87,46,67.8358,34.2272
2921,88,52,67.1101,32.3043
4269,82,50,68.001,35.8709
2380,88,45,67.5586,32.6436
1909,85,49,65.2553,32.6567
3366,93,50,68.4124,33.8679
3647,88,43,67.9359,33.5255
3757,90,46,69.5916,34.3824
3318,91,48,69.1802,34.3393
2140,87,51,68.7868,34.4885
2102,87,45,66.2543,30.0741
3270,91,48,67.3854,34.8188
4284,95,56,67.4354,34.6777
2538,88,45,68.2653,31.6246
3233,88,45,70.4074,35.4865
4754,94,56,69.2212,36.036
3625,85,45,70.014,36.969
3078,88,43,67.8118,33.3083
3904,91,45,69.3584,35.3874
2644,82,45,65.8258,32.7187
2935,90,45,69.031,32.8609
3503,93,52,69.7307,33.4975
2497,89,46,69.6026,31.8579
3116,92,55,68.1832,34.8529
4224,90,48,69.3764,35.5946
