objective,sim_node_best,sim_edge_best,sim_node_avg,sim_edge_avg
12702,90,43,71.6296,35.4484
12450,91,42,73.036,37.2432
11764,91,47,71.6687,37.9299
13638,97,51,75.045,41.4745
12185,90,51,72.4234,38.7898
12413,93,43,71.7618,35.4765
14161,95,58,75.1481,43.5646
12338,92,51,72.1502,36.951
12716,95,46,73.8288,35.7828
12099,92,53,71.8018,37.046
12389,95,58,70.5536,36.8649
12429,98,56,73.2923,36.3493
11817,93,52,70.018,35.6186
13051,94,52,72.7247,37.2783
12949,97,55,71.4895,36.5375
13832,95,47,73.037,39.0981
12755,95,46,74.7528,39.5145
11646,91,47,73.3113,38.9389
13145,91,51,70.7648,39.1902
11713,91,36,74.4154,36.4344
12217,93,42,74.3924,37.981
13937,95,49,75.2042,41.1371
12925,93,46,74.7017,37.7888
13876,96,51,74.7487,41.7638
14063,97,55,72.7217,37.7447
13552,98,51,74.013,38.7457
13309,96,54,70.8138,38.2032
12706,92,45,72.6106,38.1291
12818,95,49,72.2092,37.7217
12422,94,55,70.3694,36.6977
12418,94,50,72.2543,38.7898
11926,91,46,73.3113,38.954
12499,93,45,72.8849,36.8348
13561,93,47,74.3073,40.1802
12255,90,43,70.1862,37.3023
13195,93,50,73.2072,40.2302
12926,90,43,74.8328,39.6306
12670,96,52,70.986,36.0701
11894,94,54,71.7638,36.0981
13619,97,54,72.4985,37.9259
12264,88,42,72.4685,38.4084
13268,91,55,72.5716,40.6767
13505,94,42,75.2012,40.952
14564,98,55,75.7728,42.1582
13635,95,44,72.2052,37.7908
13851,98,55,76.1592,42.2152
12281,93,43,73.6086,39.3814
13016,93,59,73.5405,40.2973
11405,92,47,72.4394,35.6256
13999,98,51,76.2292,42.1812
10550,91,51,70.6997,34.2182
12163,94,47,73.7678,38.4795
13274,97,44,75.977,39.9489
12436,91,49,71.5155,37.6777
12820,93,50,74.6106,39.7097
14091,95,50,74.6737,40.0951
13372,97,51,75.2082,40.6837
11959,94,48,74.9269,39.3864
13175,92,48,73.8488,39.3173
12464,93,46,75.2292,38.5896
13779,96,54,74.6196,42.5205
12293,90,47,72.0781,39.7067
12433,93,48,72.5135,38.8919
12312,93,48,72.3694,37.1191
12067,90,48,71.7447,37.0521
13621,91,50,74.2573,40.6627
12592,93,56,73.7708,39.9449
13624,94,51,73.7007,40.4615
12689,95,49,76.002,40.1441
12414,92,52,71.4054,37.0661
12941,94,50,72.6166,36.6306
13384,94,47,72.975,37.2212
12622,95,47,74.3514,39.9059
12652,93,46,73.6066,39.0851
12008,92,50,73.1131,37.5195
12158,92,47,72.9079,34.4835
13141,92,43,72.3674,35.7117
12166,94,49,73.968,39.4965
13300,97,52,74.4565,38.037
11969,90,45,71.5135,34.6967
11977,91,47,71.1031,35.1922
13779,96,50,75.4545,39.4484
13990,96,51,76.1211,42.1061
13156,98,54,73.8258,39.2312
12776,96,54,74.1882,39.6787
12949,94,52,74.5606,41.1752
11556,92,51,71.6026,35.4224
13528,95,51,75.028,38.5405
10349,90,49,69.8829,34.6757
11920,95,50,72.9449,35.9469
12264,93,51,72.3724,35.2372
14071,97,55,76.4484,42.6046
12280,95,56,72.5746,35.2392
14110,94,52,74.4845,42.2973
13045,94,57,73.4545,41.7868
12094,95,47,75.3163,40.6006
11412,90,43,71.2683,36.1762
13191,94,43,73.4414,38.5686
12782,93,46,73.4024,38.5766
13261,96,52,73.046,40.5435
12390,91,43,73.1481,36.035
11913,93,42,73.5165,36.2372
11369,89,44,69.4665,35.5355
12286,91,53,70.9499,37.1782
13075,96,52,74.4935,40.9479
12892,91,49,72.3874,41.1522
12581,93,48,74.8759,40.6987
13761,98,57,76.3774,41.5666
12670,98,48,74.6376,36.7287
