method,avg_obj,min_obj,max_obj,avg_time_ms,avg_iter,min_iter,max_iter
MSLS,7642.3,7466,7873,150.274,0,0,0
ILS,8418.4,8190,8546,150.412,536.55,467,602
LNS,8164.4,7787,8473,150.517,381.25,339,429
LNSa,6176.2,4906,7777,150.386,1901.25,788,3862
HAE_Op1_LS,8041.15,7623,8358,150.563,225.8,215,239
HAE_Op2_LS,7990.3,7730,8328,150.688,171.25,159,184
HAE_Op2_noLS,7317.45,6888,7665,150.539,459,389,533
HAE_Op3_LS,8098.7,7895,8249,150.6,242.75,214,274
HAE_Op3_noLS,7125.45,6789,7941,150.459,485.4,361,634
Regret2,6699.25,6297,6934,163.983,7.65,7,8
LS_MOVE_LIST,7664.85,7300,8086,150.651,205.65,198,211
