method,avg_obj,min_obj,max_obj,avg_time_ms,avg_iter,min_iter,max_iter
MSLS,19275.5,19009,19709,184.271,0,0,0
ILS,20072.5,19771,20213,184.391,636.7,605,686
LNS,19918.6,19739,20120,184.489,466.15,434,501
LNSa,17878,17087,19310,184.375,5047.25,2685,8157
HAE_Op1_LS,19668.2,19346,19902,184.565,278.05,251,307
HAE_Op2_LS,19658.1,19427,19879,184.722,244.95,222,276
HAE_Op2_noLS,18773.8,18284,19369,184.389,1104.55,910,1297
HAE_Op3_LS,19832.5,19520,20040,184.666,364.7,318,396
HAE_Op3_noLS,18715.5,18128,19076,184.412,1438.35,1188,1640
Regret2,18910.1,18353,19517,196.035,8.45,8,9
LS_MOVE_LIST,19315.5,18965,19886,184.737,211.35,198,226
